ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	5/195	219/41384	0.003927247	0.01715275	0.01012833	CXCL10/TSPAN33/GBP2/CASP7/TP53INP1	5	0.025641026	0.0052919	-4.84533427	E788_vs_WT	down
HP_ABNORMALITY_OF_THE_METAPHYSIS	5/195	219/41384	0.003927247	0.01715275	0.01012833	DDR2/SETBP1/EXOC6B/FN1/EXT1	5	0.025641026	0.0052919	-4.84533427	E788_vs_WT	down
MIR3915	5/195	219/41384	0.003927247	0.01715275	0.01012833	PHLDA1/EXOC6B/GRIN2A/GNA12/PASK	5	0.025641026	0.0052919	-4.84533427	E788_vs_WT	down
HP_ABNORMAL_ORAL_MUCOSA_MORPHOLOGY	6/195	315/41384	0.003948928	0.017204891	0.010159118	ZEB2/DDR2/SETBP1/PTPRC/STAT4/CDKN2C	6	0.030769231	0.007611637	-4.042393162	E788_vs_WT	down
MODULE_8	7/195	421/41384	0.004001102	0.017336512	0.010236837	STK17A/FILIP1L/TNFAIP8/FN1/DUSP6/SOX4/ST6GAL1	7	0.035897436	0.010173014	-3.528692369	E788_vs_WT	down
ACTGCCT_MIR34B	5/195	220/41384	0.00400353	0.017336512	0.010236837	TOX/MET/MYCBP2/NFAT5/SOX4	5	0.025641026	0.005316064	-4.823310023	E788_vs_WT	down
GOBP_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE	5/195	220/41384	0.00400353	0.017336512	0.010236837	ANK3/MEF2C/LGMN/ADGRV1/JUN	5	0.025641026	0.005316064	-4.823310023	E788_vs_WT	down
ZNF512B_TARGET_GENES	5/195	220/41384	0.00400353	0.017336512	0.010236837	FAM107B/CLMN/TSHZ2/TP53INP1/RGS9	5	0.025641026	0.005316064	-4.823310023	E788_vs_WT	down
GOCC_GLUTAMATERGIC_SYNAPSE	6/195	317/41384	0.004071668	0.017608063	0.010397182	TNIK/HOMER2/ITGB1/GRIN2A/PPP3CA/RGS9	6	0.030769231	0.007659965	-4.016889105	E788_vs_WT	down
HP_BILATERAL_TONIC_CLONIC_SEIZURE	6/195	317/41384	0.004071668	0.017608063	0.010397182	ADGRV1/RORB/GRIN2A/PPP3CA/KCNQ5/MICAL1	6	0.030769231	0.007659965	-4.016889105	E788_vs_WT	down
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	5/195	221/41384	0.004080866	0.017638435	0.010415116	PTPRC/ITGAV/SH3RF1/MCL1/DAB2IP	5	0.025641026	0.005340228	-4.801485091	E788_vs_WT	down
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY	5/195	221/41384	0.004080866	0.017638435	0.010415116	CXCL10/FN1/DUSP1/CCL1/JUN	5	0.025641026	0.005340228	-4.801485091	E788_vs_WT	down
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	5/195	222/41384	0.004159265	0.01789146	0.010564522	RUNX1/E2F7/H2BC12/TSHZ2/NUCB2	5	0.025641026	0.005364392	-4.77985678	E788_vs_WT	down
EGR2_mutant_CLL_up_all_SigDB_Staudt	5/195	222/41384	0.004159265	0.01789146	0.010564522	TRIB1/DUSP4/DUSP1/DUSP5/EXT1	5	0.025641026	0.005364392	-4.77985678	E788_vs_WT	down
GOBP_CELL_RECOGNITION	5/195	222/41384	0.004159265	0.01789146	0.010564522	IGHG4/SEMA5A/CADM1/PECAM1/EXT1	5	0.025641026	0.005364392	-4.77985678	E788_vs_WT	down
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	6/195	319/41384	0.00419721	0.018049895	0.010658074	PHLDA1/CSGALNACT1/EOGT/EXT1/GCNT1/ST6GAL1	6	0.030769231	0.007708293	-3.991704847	E788_vs_WT	down
Glutamine_Glucose_starve_both_down_SigDB_Staudt	7/195	426/41384	0.004264534	0.018295754	0.010803249	TRIB1/RASGRP3/TRANK1/CADM1/PIK3CG/CD47/PRKCB	7	0.035897436	0.010293833	-3.487275792	E788_vs_WT	down
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE	7/195	426/41384	0.004264534	0.018295754	0.010803249	CLMN/SELPLG/ENTPD1/PTPRJ/FNDC3B/PECAM1/GCNT1	7	0.035897436	0.010293833	-3.487275792	E788_vs_WT	down
HP_ABNORMALITY_OF_THE_URETHRA	7/195	427/41384	0.00431876	0.018467117	0.010904435	PDE4D/PLD1/ZEB2/SETBP1/SMARCA2/MTM1/SOX4	7	0.035897436	0.010317997	-3.479108869	E788_vs_WT	down
DAZARD_RESPONSE_TO_UV_NHEK_UP	5/195	224/41384	0.004319281	0.018467117	0.010904435	PRDM1/TRIB1/PHLDA1/DUSP1/JUN	5	0.025641026	0.00541272	-4.737179487	E788_vs_WT	down
GOBP_PROTEIN_AUTOPHOSPHORYLATION	5/195	224/41384	0.004319281	0.018467117	0.010904435	TNIK/DDR2/PTPRC/PASK/JUN	5	0.025641026	0.00541272	-4.737179487	E788_vs_WT	down
MIR205_5P	5/195	224/41384	0.004319281	0.018467117	0.010904435	EXOC6B/PTPRJ/TNFAIP8/CADM1/NFAT5	5	0.025641026	0.00541272	-4.737179487	E788_vs_WT	down
MIR3153	5/195	224/41384	0.004319281	0.018467117	0.010904435	ZEB2/EFNA5/TNIK/AFF2/SDK1	5	0.025641026	0.00541272	-4.737179487	E788_vs_WT	down
MIR373_3P	6/195	321/41384	0.004325592	0.018484354	0.010914613	PDE4D/RYR2/SETBP1/E2F7/MCL1/TP53INP1	6	0.030769231	0.007756621	-3.966834412	E788_vs_WT	down
MIR4516	6/195	321/41384	0.004325592	0.018484354	0.010914613	FN1/FAM135B/MAP2/PRKCB/AKAP13/ST6GAL1	6	0.030769231	0.007756621	-3.966834412	E788_vs_WT	down
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	7/195	428/41384	0.004373506	0.018537674	0.010946098	CALD1/LGMN/MAST4/FN1/DUSP1/ITGB1/LRRC8C	7	0.035897436	0.010342161	-3.47098011	E788_vs_WT	down
LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA	6/195	322/41384	0.00439086	0.018606369	0.01098666	TOX/FAM107B/DUSP1/DUSP6/TMSB4X/ST6GAL1	6	0.030769231	0.007780785	-3.95451505	E788_vs_WT	down
AAAGGGA_MIR204_MIR211	5/195	225/41384	0.004400913	0.018634363	0.01100319	CHN2/NR3C1/TP53INP1/ADCY6/SOX4	5	0.025641026	0.005436884	-4.716125356	E788_vs_WT	down
MIR7977	5/195	225/41384	0.004400913	0.018634363	0.01100319	RABGAP1L/CLMN/SH3BP5/CADM1/MAP2	5	0.025641026	0.005436884	-4.716125356	E788_vs_WT	down
TTTTGAG_MIR373	5/195	225/41384	0.004400913	0.018634363	0.01100319	WDR44/MBP/FN1/PPP3CA/SOX4	5	0.025641026	0.005436884	-4.716125356	E788_vs_WT	down
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7/195	429/41384	0.004428775	0.018747441	0.01106996	RYR2/ITGAV/MCOLN2/GRIN2A/CACNA2D3/KCNQ5/KCNMB4	7	0.035897436	0.010366325	-3.462889248	E788_vs_WT	down
HP_ABNORMALITY_OF_BLOOD_CIRCULATION	6/195	323/41384	0.004456852	0.018817175	0.011111137	RUNX1/ZEB2/STAT4/FN1/CDKN2C/EOGT	6	0.030769231	0.007804949	-3.94227197	E788_vs_WT	down
HP_SPARSE_HAIR	6/195	323/41384	0.004456852	0.018817175	0.011111137	SMARCA2/EOGT/DUSP6/EXT1/SOX4/PHF6	6	0.030769231	0.007804949	-3.94227197	E788_vs_WT	down
LEI_MYB_TARGETS	6/195	323/41384	0.004456852	0.018817175	0.011111137	RRAD/SMARCA2/FN1/MCL1/GNG11/SERPINB2	6	0.030769231	0.007804949	-3.94227197	E788_vs_WT	down
MIR4766_5P	6/195	323/41384	0.004456852	0.018817175	0.011111137	TRANK1/AUTS2/TNFAIP8/DOCK10/NFAT5/ATXN1	6	0.030769231	0.007804949	-3.94227197	E788_vs_WT	down
MIR636	5/195	226/41384	0.00448364	0.018866421	0.011140216	RABGAP1L/MAST4/SETBP1/SNX4/ADAM22	5	0.025641026	0.005461048	-4.695257545	E788_vs_WT	down
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	5/195	226/41384	0.00448364	0.018866421	0.011140216	STK17A/PTPRC/CD47/TMSB4X/JUN	5	0.025641026	0.005461048	-4.695257545	E788_vs_WT	down
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_UP	6/195	324/41384	0.004523573	0.019024583	0.011233607	CLIC5/DUSP4/DUSP6/LIMA1/MAP2/GCNT1	6	0.030769231	0.007829113	-3.930104463	E788_vs_WT	down
MIR147B_5P	6/195	324/41384	0.004523573	0.019024583	0.011233607	PDE4D/MEF2C/TRANK1/CRACDL/ABCD2/ADCY6	6	0.030769231	0.007829113	-3.930104463	E788_vs_WT	down
GOCC_CELL_SUBSTRATE_JUNCTION	7/195	431/41384	0.004540897	0.019092488	0.011273703	DDR2/PTPRC/ITGAV/ITGB1/LIMA1/GNA12/SYNE2	7	0.035897436	0.010414653	-3.446820156	E788_vs_WT	down
GOBP_RESPONSE_TO_CARBOHYDRATE	5/195	227/41384	0.004567468	0.019164458	0.0113162	EFNA5/SLC2A5/PPP3CA/PRKCB/SOX4	5	0.025641026	0.005485212	-4.674573591	E788_vs_WT	down
HAY_BONE_MARROW_MONOCYTE	5/195	227/41384	0.004567468	0.019164458	0.0113162	RABGAP1L/SELPLG/GBP2/TMSB4X/PECAM1	5	0.025641026	0.005485212	-4.674573591	E788_vs_WT	down
TEF1_Q6	5/195	227/41384	0.004567468	0.019164458	0.0113162	ANK3/EGR2/PTPRJ/ITGB1/CDKN2C	5	0.025641026	0.005485212	-4.674573591	E788_vs_WT	down
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN	5/195	228/41384	0.004652406	0.019465392	0.011493895	EFNA5/CLIC5/AFF2/DAB2IP/SDK1	5	0.025641026	0.005509376	-4.654071075	E788_vs_WT	down
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	6/195	328/41384	0.004797845	0.01994531	0.011777276	MET/MEF2C/RYR2/CXCL10/EXT1/SOX4	6	0.030769231	0.007925768	-3.88217636	E788_vs_WT	down
MIR520B_3P_MIR520C_3P_MIR520E_3P	6/195	328/41384	0.004797845	0.01994531	0.011777276	PDE4D/RYR2/SETBP1/E2F7/MCL1/TP53INP1	6	0.030769231	0.007925768	-3.88217636	E788_vs_WT	down
MIR4307	7/195	436/41384	0.004830584	0.020076264	0.011854602	PDE4D/F2R/ZEB2/SETBP1/ABCD2/PTPRJ/CD47	7	0.035897436	0.010535473	-3.407292402	E788_vs_WT	down
MIR1252_5P	6/195	329/41384	0.004868284	0.020196714	0.011925725	RAPH1/EXOC6B/E2F7/CADM1/CYRIA/SDK1	6	0.030769231	0.007949932	-3.870376432	E788_vs_WT	down
MIR4319	7/195	437/41384	0.004890155	0.020282263	0.01197624	PRDM1/RBM20/FNDC3B/DUSP6/MCL1/GCNT1/ATXN1	7	0.035897436	0.010559637	-3.399495394	E788_vs_WT	down
LEF1_Q2	5/195	231/41384	0.004913957	0.020357001	0.012020371	RABGAP1L/ANK3/DDR2/TSPAN2/PTPRJ	5	0.025641026	0.005581867	-4.593628594	E788_vs_WT	down
MIR485_3P	5/195	231/41384	0.004913957	0.020357001	0.012020371	ANK3/RYR2/AUTS2/MTM1/KCNQ5	5	0.025641026	0.005581867	-4.593628594	E788_vs_WT	down
MIR539_3P	5/195	231/41384	0.004913957	0.020357001	0.012020371	ANK3/RYR2/AUTS2/MTM1/KCNQ5	5	0.025641026	0.005581867	-4.593628594	E788_vs_WT	down
MIR520D_3P	6/195	330/41384	0.00493948	0.020445008	0.012072337	PDE4D/RYR2/SETBP1/E2F7/MCL1/TP53INP1	6	0.030769231	0.007974096	-3.858648019	E788_vs_WT	down
MIR3145_3P	5/195	232/41384	0.005003413	0.020704351	0.012225474	ZEB2/TNIK/AFF2/PKIA/ADCY6	5	0.025641026	0.005606031	-4.57382847	E788_vs_WT	down
MIR12124	6/195	331/41384	0.005011438	0.020721697	0.012235716	ZEB2/CXCL10/GRIN2A/EOGT/NR3C1/TP53INP1	6	0.030769231	0.00799826	-3.846990472	E788_vs_WT	down
MIR372_3P	6/195	331/41384	0.005011438	0.020721697	0.012235716	PDE4D/RYR2/SETBP1/E2F7/MCL1/TP53INP1	6	0.030769231	0.00799826	-3.846990472	E788_vs_WT	down
MIR520A_3P	6/195	331/41384	0.005011438	0.020721697	0.012235716	PDE4D/RYR2/SETBP1/E2F7/MCL1/TP53INP1	6	0.030769231	0.00799826	-3.846990472	E788_vs_WT	down
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1	7/195	440/41384	0.005072193	0.020882397	0.012330606	RASGRP3/CLIC5/GBP4/FN1/PECAM1/GNG11/CD82	7	0.035897436	0.010632128	-3.376317016	E788_vs_WT	down
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	7/195	440/41384	0.005072193	0.020882397	0.012330606	PKIA/CDC14B/E2F7/DUSP1/ITGB1/CDKN2C/PPP3CA	7	0.035897436	0.010632128	-3.376317016	E788_vs_WT	down
MIR497_3P	5/195	233/41384	0.005094018	0.02095629	0.012374238	PRDM1/MYCBP2/NFAT5/NR3C1/TP53INP1	5	0.025641026	0.005630195	-4.554198305	E788_vs_WT	down
MIR6780A_5P	5/195	233/41384	0.005094018	0.02095629	0.012374238	ODAPH/CHN2/EOGT/DAB2IP/ATXN1	5	0.025641026	0.005630195	-4.554198305	E788_vs_WT	down
SYATTGTG_UNKNOWN	5/195	233/41384	0.005094018	0.02095629	0.012374238	TRIB1/CTNNA2/EXT1/ADAM22/SOX4	5	0.025641026	0.005630195	-4.554198305	E788_vs_WT	down
YANG_BCL3_TARGETS_UP	6/195	333/41384	0.005157662	0.021190226	0.012512372	TNIK/CXCL10/GBP4/GBP2/CDKN2C/SERPINB2	6	0.030769231	0.008046588	-3.823885424	E788_vs_WT	down
MIR1284	5/195	234/41384	0.00518578	0.021279807	0.012565268	MEF2C/MAST4/AUTS2/FNDC3B/ATXN1	5	0.025641026	0.005654359	-4.534735919	E788_vs_WT	down
MORF_IL13	5/195	234/41384	0.00518578	0.021279807	0.012565268	STK17A/RUNX1/TNIK/AFF2/COLQ	5	0.025641026	0.005654359	-4.534735919	E788_vs_WT	down
GOBP_NEURON_PROJECTION_GUIDANCE	5/195	235/41384	0.005278707	0.021551402	0.012725639	EFNA5/SEMA5A/EGR2/MYCBP2/EXT1	5	0.025641026	0.005678523	-4.515439171	E788_vs_WT	down
GOBP_REGULATED_EXOCYTOSIS	5/195	235/41384	0.005278707	0.021551402	0.012725639	BLK/PIK3CG/SNX4/MICAL1/PRKCB	5	0.025641026	0.005678523	-4.515439171	E788_vs_WT	down
AAGCCAT_MIR135A_MIR135B	6/195	335/41384	0.005306994	0.021623998	0.012768506	ANK3/MEF2C/RUNX1/CD47/NCOA1/DUSP5	6	0.030769231	0.008094916	-3.801056257	E788_vs_WT	down
MIR1299	6/195	335/41384	0.005306994	0.021623998	0.012768506	SLC2A5/TMEM45A/MAST4/NFAT5/ZSCAN2/PRKCB	6	0.030769231	0.008094916	-3.801056257	E788_vs_WT	down
GOBP_RESPONSE_TO_ALCOHOL	5/195	236/41384	0.005372806	0.021870181	0.012913871	EFNA5/GRIN2A/TP53INP1/ADCY6/ST6GAL1	5	0.025641026	0.005702687	-4.496305954	E788_vs_WT	down
GOMF_GLYCOSAMINOGLYCAN_BINDING	5/195	236/41384	0.005372806	0.021870181	0.012913871	CXCL10/SEMA5A/PTPRC/FN1/COLQ	5	0.025641026	0.005702687	-4.496305954	E788_vs_WT	down
MIR2115_3P	5/195	236/41384	0.005372806	0.021870181	0.012913871	ITGAV/GCSAM/PIK3CG/MAP2/PRKCB	5	0.025641026	0.005702687	-4.496305954	E788_vs_WT	down
MIR3140_3P	5/195	236/41384	0.005372806	0.021870181	0.012913871	CTNNA2/RORB/SEMA5A/PTPRT/NR3C1	5	0.025641026	0.005702687	-4.496305954	E788_vs_WT	down
RUBENSTEIN_SKELETAL_MUSCLE_SMOOTH_MUSCLE_CELLS	7/195	445/41384	0.005386863	0.021921897	0.012944409	CALD1/MEF2C/FILIP1L/ENTPD1/GBP2/ITGB1/JUN	7	0.035897436	0.010752948	-3.33838087	E788_vs_WT	down
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	5/195	237/41384	0.005468086	0.022174532	0.013093584	BLK/PTPRC/SERPINB9/CADM1/SNX4	5	0.025641026	0.005726851	-4.477334199	E788_vs_WT	down
CDPCR3HD_01	5/195	238/41384	0.005564554	0.022526304	0.013301298	STMN2/EHF/CCDC88A/TSHZ2/EXT1	5	0.025641026	0.005751015	-4.45852187	E788_vs_WT	down
MULLIGHAN_MLL_SIGNATURE_1_DN	5/195	238/41384	0.005564554	0.022526304	0.013301298	RUNX1/MAST4/CLMN/ITGAV/STAT4	5	0.025641026	0.005751015	-4.45852187	E788_vs_WT	down
GOBP_REGULATION_OF_AUTOPHAGY	6/195	339/41384	0.005615131	0.022725376	0.013418846	MET/SESN3/MTM1/MCL1/SNX4/TP53INP1	6	0.030769231	0.008191572	-3.756206036	E788_vs_WT	down
CACTTTG_MIR520G_MIR520H	5/195	239/41384	0.005662218	0.022881682	0.013511141	RUNX1/PPP3CA/TLE4/TP53INP1/ATXN1	5	0.025641026	0.005775179	-4.439866967	E788_vs_WT	down
MODULE_18	7/195	450/41384	0.00571597	0.022995755	0.013578499	DUSP4/FN1/CADM1/CDKN2C/H2BC12/DUSP6/GNG11	7	0.035897436	0.010873768	-3.301287749	E788_vs_WT	down
HP_NEOPLASM_BY_HISTOLOGY	6/195	342/41384	0.005854676	0.023483867	0.013866718	RUNX1/SETBP1/PTPRJ/CDKN2C/EXT1/SOX4	6	0.030769231	0.008264063	-3.72325686	E788_vs_WT	down
MIR4427	5/195	241/41384	0.005861165	0.023492464	0.013871794	PDE4D/RAPH1/ZEB2/CASP7/FNDC3B	5	0.025641026	0.005823507	-4.403021598	E788_vs_WT	down
MIR5683	5/195	241/41384	0.005861165	0.023492464	0.013871794	MEF2C/TSPAN2/SH3RF1/FNDC3B/NR3C1	5	0.025641026	0.005823507	-4.403021598	E788_vs_WT	down
PAX4_02	5/195	241/41384	0.005861165	0.023492464	0.013871794	RAPH1/STMN2/AUTS2/CACNA2D3/SOX4	5	0.025641026	0.005823507	-4.403021598	E788_vs_WT	down
MIR3941	6/195	343/41384	0.005936157	0.023787165	0.014045809	TOX/ANK3/PHLDA1/FAM135B/NR3C1/TP53INP1	6	0.030769231	0.008288227	-3.712401884	E788_vs_WT	down
GAUTAM_EYE_IRIS_CILIARY_BODY_MELANOCYTES	5/195	242/41384	0.005962463	0.023863095	0.014090644	RASGRP3/ZEB2/TMOD1/CCDC88A/CDKN2C	5	0.025641026	0.005847671	-4.384827294	E788_vs_WT	down
MIR2052	5/195	242/41384	0.005962463	0.023863095	0.014090644	TNIK/AFF2/SEMA5A/CDKN2C/ISM1	5	0.025641026	0.005847671	-4.384827294	E788_vs_WT	down
JAK_Up_HBL1_SigDB_Staudt	6/195	344/41384	0.006018463	0.024081276	0.014219475	SLC2A5/EGR2/SCD5/MCL1/JUN/SDK1	6	0.030769231	0.008312391	-3.701610018	E788_vs_WT	down
Blood_Module-3.9_Undetermined_SigDB_Staudt	5/195	243/41384	0.006064988	0.024207705	0.014294129	MEF2C/SMARCA2/PTPRC/MTM1/SNX4	5	0.025641026	0.005871835	-4.366782737	E788_vs_WT	down
HP_PROPTOSIS	5/195	243/41384	0.006064988	0.024207705	0.014294129	DDR2/SETBP1/AUTS2/EXOC6B/FN1	5	0.025641026	0.005871835	-4.366782737	E788_vs_WT	down
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	5/195	244/41384	0.006168747	0.024466539	0.014446964	PDE4D/CXCL10/GNA12/AKAP13/ADCY6	5	0.025641026	0.005895998	-4.348886087	E788_vs_WT	down
MORF_MSH3	5/195	244/41384	0.006168747	0.024466539	0.014446964	RUNX1/TNIK/AFF2/NFAT5/COLQ	5	0.025641026	0.005895998	-4.348886087	E788_vs_WT	down
SMAD4_Q6	5/195	244/41384	0.006168747	0.024466539	0.014446964	CALD1/MEF2C/CADM1/PPP3CA/DUSP5	5	0.025641026	0.005895998	-4.348886087	E788_vs_WT	down
UDAYAKUMAR_MED1_TARGETS_DN	5/195	244/41384	0.006168747	0.024466539	0.014446964	H1-2/TRIB1/PPP3CA/DUSP5/ST6GAL1	5	0.025641026	0.005895998	-4.348886087	E788_vs_WT	down
GOCC_NEURON_TO_NEURON_SYNAPSE	6/195	346/41384	0.006185567	0.024514014	0.014474998	TNIK/HOMER2/CADM1/GRIN2A/RGS9/ADAM22	6	0.030769231	0.008360719	-3.680213428	E788_vs_WT	down
MIR6508_5P	6/195	346/41384	0.006185567	0.024514014	0.014474998	CALD1/SH3BP5/AUTS2/SNX4/CYRIA/PAG1	6	0.030769231	0.008360719	-3.680213428	E788_vs_WT	down
RUBENSTEIN_SKELETAL_MUSCLE_MYELOID_CELLS	6/195	347/41384	0.006270375	0.024784747	0.01463486	LSP1/PTPRC/DUSP1/TMSB4X/MCL1/CYRIA	6	0.030769231	0.008384883	-3.669607626	E788_vs_WT	down
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	5/195	245/41384	0.006273749	0.024784747	0.01463486	RUNX1/PTPRC/CD47/NFAT5/SOX4	5	0.025641026	0.005920162	-4.331135531	E788_vs_WT	down
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	5/195	245/41384	0.006273749	0.024784747	0.01463486	TMOD1/STMN2/SEMA5A/LIMA1/MICAL1	5	0.025641026	0.005920162	-4.331135531	E788_vs_WT	down
MIR889_3P	5/195	245/41384	0.006273749	0.024784747	0.01463486	WDR44/ZEB2/FN1/NFAT5/PHF6	5	0.025641026	0.005920162	-4.331135531	E788_vs_WT	down
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS	6/195	348/41384	0.006356027	0.025071299	0.014804063	TNFAIP8/SH3RF1/SERPINB9/MTM1/MICAL1/SERPINB2	6	0.030769231	0.008409047	-3.659062776	E788_vs_WT	down
HP_BRACHYDACTYLY	6/195	348/41384	0.006356027	0.025071299	0.014804063	PDE4D/SMARCA2/CSGALNACT1/EOGT/PPP3CA/EXT1	6	0.030769231	0.008409047	-3.659062776	E788_vs_WT	down
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	5/195	246/41384	0.00638	0.025137139	0.01484294	MEF2C/SEMA5A/FN1/EXT1/DAB2IP	5	0.025641026	0.005944326	-4.313529289	E788_vs_WT	down
CEBPDELTA_Q6	5/195	247/41384	0.006487509	0.025480245	0.015045537	TRIB1/ZEB2/CACNA2D3/JUN/SDK1	5	0.025641026	0.00596849	-4.296065608	E788_vs_WT	down
GATA1_04	5/195	247/41384	0.006487509	0.025480245	0.015045537	CALD1/EGR2/PKIA/NR3C1/JUN	5	0.025641026	0.00596849	-4.296065608	E788_vs_WT	down
MIR202_3P	5/195	247/41384	0.006487509	0.025480245	0.015045537	TRIB1/MEF2C/TSPAN2/DUSP1/STON2	5	0.025641026	0.00596849	-4.296065608	E788_vs_WT	down
MORF_MT4	5/195	247/41384	0.006487509	0.025480245	0.015045537	STK17A/RUNX1/AFF2/NR3C1/COLQ	5	0.025641026	0.00596849	-4.296065608	E788_vs_WT	down
ATF5_TARGET_GENES	7/195	462/41384	0.006567128	0.025767992	0.015215445	PRDM1/RABGAP1L/MEF2C/EHF/CSGALNACT1/FNDC3B/LIMA1	7	0.035897436	0.011163735	-3.215540016	E788_vs_WT	down
MIR670_5P	5/195	248/41384	0.006596283	0.025869871	0.015275602	TOX/RYR2/PKIA/GBP2/DUSP6	5	0.025641026	0.005992654	-4.278742763	E788_vs_WT	down
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE	5/195	248/41384	0.006596283	0.025869871	0.015275602	LSP1/MBP/CLEC2D/FNDC3B/PECAM1	5	0.025641026	0.005992654	-4.278742763	E788_vs_WT	down
GOBP_PEPTIDE_TRANSPORT	5/195	249/41384	0.006706329	0.026104961	0.015414417	EFNA5/BLK/PPP3CA/PASK/SOX4	5	0.025641026	0.006016818	-4.261559057	E788_vs_WT	down
HNF1_C	5/195	249/41384	0.006706329	0.026104961	0.015414417	PRDM1/ZEB2/GRIN2A/LRRFIP2/TLE4	5	0.025641026	0.006016818	-4.261559057	E788_vs_WT	down
GOBP_NEURON_DEATH	6/195	352/41384	0.006707165	0.026104961	0.015414417	F2R/MEF2C/LGMN/CASP7/MCL1/JUN	6	0.030769231	0.008505703	-3.617482517	E788_vs_WT	down
E2F1_Q3_01	5/195	250/41384	0.006817655	0.026443893	0.01561455	CADM1/GRIN2A/H2BC12/DUSP6/ATXN1	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	5/195	250/41384	0.006817655	0.026443893	0.01561455	BLK/PTPRJ/PTPRC/CADM1/SNX4	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	5/195	250/41384	0.006817655	0.026443893	0.01561455	PDE4D/F2R/RYR2/PIK3CG/PPP3CA	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
NFY_C	5/195	250/41384	0.006817655	0.026443893	0.01561455	BLK/DDR2/EHF/H2AC6/TLE4	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
SP1_Q2_01	5/195	250/41384	0.006817655	0.026443893	0.01561455	SH3BP5/PTPRJ/CADM1/GRIN2A/NFAT5	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
VERHAAK_AML_WITH_NPM1_MUTATED_DN	5/195	250/41384	0.006817655	0.026443893	0.01561455	TOX/MEF2C/TMOD1/IL5RA/CSGALNACT1	5	0.025641026	0.006040982	-4.244512821	E788_vs_WT	down
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	7/195	466/41384	0.006870798	0.026630911	0.01572498	TMOD1/DDR2/STMN2/SEMA5A/LIMA1/MICAL1/PRKCB	7	0.035897436	0.01126039	-3.187938814	E788_vs_WT	down
MIR3065_5P	7/195	466/41384	0.006870798	0.026630911	0.01572498	PRDM1/PDE4D/DNER/ANK3/WDR44/RBM20/TLE4	7	0.035897436	0.01126039	-3.187938814	E788_vs_WT	down
MIR3143	7/195	466/41384	0.006870798	0.026630911	0.01572498	PDE4D/SMIM14/ABCD2/CADM1/CASP7/NFAT5/NR3C1	7	0.035897436	0.01126039	-3.187938814	E788_vs_WT	down
HP_ABNORMAL_RIB_CAGE_MORPHOLOGY	6/195	354/41384	0.006887918	0.026690889	0.015760395	DDR2/SETBP1/EXOC6B/MTM1/PPP3CA/EXT1	6	0.030769231	0.008554031	-3.597044763	E788_vs_WT	down
MIR7152_5P	5/195	251/41384	0.006930269	0.026828775	0.015841814	CADM1/GRIN2A/CASP7/EOGT/NCOA1	5	0.025641026	0.006065146	-4.227602411	E788_vs_WT	down
